price,mileage
4200.0,200000
11900.0,180000
6300.0,170000
7700.0,200000
3800.0,15000
14000.0,110000
5300.0,150000
5900.0,160000
5300.0,200000
7500.0,200000
3700.0,170000
5000.0,170000
8900.0,120000
4950.0,190000
6000.0,80000
3700.0,200000
10800.0,190000
1.0,100000
12000.0,200000
3000.0,400000
12900.0,180000
9500.0,180000
13500.0,200000
4500.0,25000
12500.0,190000
9200.0,10000
12800.0,180000
3999.0,15000
11500.0,170000
6300.0,250000
14800.0,130000
6390.0,70000
1900.0,170000
13300.0,130000
19150.0,95000
21900.0,130000
2500.0,200000
2800.0,15000
11200.0,200000
